Id2,Total; Estimate; Total population,Male; Estimate; Total population,Female; Estimate; Total population,Male; Estimate; AGE - Under 5 years,Male; Estimate; AGE - 45 to 49 years,Male; Estimate; AGE - 50 to 54 years,Male; Estimate; AGE - 55 to 59 years,Male; Estimate; SELECTED AGE CATEGORIES - 5 to 14 years,Male; Estimate; SELECTED AGE CATEGORIES - 15 to 44 years,Male; Estimate; SELECTED AGE CATEGORIES - 60 years and over,Female; Estimate; AGE - Under 5 years,Female; Estimate; AGE - 45 to 49 years,Female; Estimate; AGE - 50 to 54 years,Female; Estimate; AGE - 55 to 59 years,Female; Estimate; SELECTED AGE CATEGORIES - 5 to 14 years,Female; Estimate; SELECTED AGE CATEGORIES - 15 to 44 years,Female; Estimate; SELECTED AGE CATEGORIES - 60 years and over,Male; Estimate; SUMMARY INDICATORS - Median age (years),Female; Estimate; SUMMARY INDICATORS - Median age (years),Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
44319,22592,11419,11173,4.2,7.3,8.7,9.4,9.4,36.2,24.8,4.5,6.5,8.1,8.4,9.2,34.9,28.5,45.1,45.8,582,6810,43116,196189
73067,2146,1171,975,2.8,7.9,8.4,7.9,13.1,39.1,20.8,5.2,8.1,9.3,8.1,11.1,31.7,26.5,41.4,45.7,33,205,1724,6045
1851,30022,14858,15164,8.1,7.8,7.3,6.3,11.2,46.1,13,6.1,7.4,6.8,6.4,13.6,43.6,16.1,32.8,34.4,450,8568,147660,551236
67335,3332,1803,1529,7,6.2,8.8,9.2,12.9,34.1,22,2,5.6,6.1,8.6,13.7,33.6,30.3,41.4,45.8,52,491,2852,12186
72524,280,162,118,17.3,12.3,0,13,15.4,30.9,11.1,0,16.1,0,0,0,49.2,34.7,30.4,46.1,9,93,470,2592
35901,19573,9359,10214,6.9,6.3,6.2,7.8,13.9,38.8,20.1,5.8,7.4,5.9,8.3,9.9,36.4,26.3,38.2,43.5,714,9219,66462,289032
8752,2367,1229,1138,4.4,3.4,6,9.3,7.9,23,46,0,8.8,5.7,8.5,3.8,25,48.2,58.8,58.4,58,273,1705,10276
35063,3900,1945,1955,6.4,6.9,8.3,9.2,12.6,32.4,24.2,3.7,7.1,10.5,4.8,13.5,29,31.5,42.8,47.5,13,47,263,1146
48114,20600,10152,10448,4.3,7.8,10,9.1,13.3,34.4,21.1,4.1,8.1,8.6,9.2,12.8,33.3,24,43.2,44.9,505,4086,41436,188834
20037,15687,7384,8303,1.5,4,2.5,4.6,0,71.7,15.7,1.4,3,2.8,1.6,1,74.5,15.6,30.7,24.3,829,25487,609829,2389256
54421,3270,1583,1687,5.9,7.3,8.1,6.4,18.6,34.4,19.3,7.5,5.9,7.8,4.4,16.7,30.7,27,36.8,40.5,71,997,8410,34853
79070,10333,5282,5051,9.8,6,6.6,6.3,18.3,40.8,12.2,8.2,7.5,5.3,5.7,18.4,40.2,14.7,30.4,32.5,348,3862,53937,200034
49676,3441,1736,1705,6,5.6,6,8.7,10.5,31,32,3,8.3,7.8,7.1,8.3,33.7,31.7,48.4,46.9,51,312,2928,12681
3583,933,424,509,3.8,8.3,11.3,8,8.3,22.6,37.7,3.5,11.2,10.2,10.4,8.1,21.2,35.4,52.3,53.8,25,175,1459,9473
54454,1442,742,700,5.3,8.1,9.7,11.6,11.9,35.2,18.3,6.9,5.3,8.1,11.1,15.1,37.4,16,42.5,38.5,17,92,548,2438
8019,1012,516,496,3.1,11.4,12.2,6.2,5.6,43.4,18,4.2,9.1,9.3,6.3,10.1,36.1,25,42.3,44.7,14,45,439,2337
36003,1716,873,843,4.8,1.9,12.7,8.1,13.6,36,22.8,1.9,9.8,13.6,5.6,6.6,38.6,23.8,40.9,48,15,128,751,3257
13335,1606,851,755,6.3,15.9,8.5,6.2,9.2,33.3,20.7,7.3,7.9,7.8,5.3,13.9,34.8,22.9,45.5,41.4,31,1086,10991,47243
62215,1731,894,837,7.2,9.1,8.4,5.9,15.9,38.5,15.1,4.9,7.6,9.1,5.5,12.1,42.3,18.5,34.4,37,42,299,1776,8537
53575,16070,8358,7712,4.8,10.3,8.1,7,14.3,40.3,15.1,4.6,9.1,7.9,6.3,18.3,33.9,19.9,39.6,41.1,319,2548,20206,94328
79934,24062,12189,11873,9.5,4.5,4.2,5.9,19.6,49.6,6.7,9.4,6.8,5.7,4,17,49.3,7.8,28,29.9,92,1123,9648,44193
37355,25493,12334,13159,6,7.5,6.5,7.2,13.8,38,21,5,5.6,9,5.8,13.3,36.8,24.6,39.2,40.2,505,8020,66808,279814
15610,3667,1794,1873,2.2,6.4,10.8,11.3,11.6,32.6,25.1,5.6,8.5,13.1,9.8,13,27,22.9,48.5,47.8,45,359,2840,13443
73106,13242,6977,6265,8.1,7.3,6.7,9.2,11.3,46.4,11.1,6.8,5.1,5.1,7.8,12.1,51.4,11.7,33.1,30.3,479,8560,112417,450773
1129,7377,3466,3911,7.2,7.6,8.8,6.8,15.6,35.5,18.6,3.7,6.9,7.2,6.8,9.5,38,27.9,35.8,43.7,162,2657,15369,63623
4926,36,18,18,0,0,0,0,0,0,100,0,0,0,0,0,0,100,-,-,11,59,382,1773
28269,76360,37057,39303,8.1,7.5,6.5,4.8,15.7,46.9,10.6,7.2,7.6,5.3,5.7,14.2,47.6,12.4,32.6,34.4,1266,20659,249180,1002725
75691,2817,1435,1382,3.8,9.5,2.9,5.9,17.3,36.6,24,4.2,6.2,4.6,7.7,22.1,31.8,23.4,40.4,36.9,71,1481,31346,98008
25670,6074,3019,3055,7.5,7.6,4.8,7.3,12.5,38.7,21.6,6.8,8.2,7.8,6.9,10.5,38.1,21.6,35.2,42.1,48,463,2676,10959
48184,17251,8354,8897,6.5,8,8,7.1,13.7,39.7,16.9,3.9,6,6.1,9.2,12.2,41.2,21.5,36.7,39.8,369,11888,170286,666154
2535,1511,706,805,5.5,2.8,8.1,9.3,11,36.8,26.3,2.9,3.7,11.8,9.2,7.6,37.5,27.3,41.9,48.5,49,166,1690,9080
15746,106,47,59,0,0,6.4,19.1,0,53.2,21.3,10.2,0,6.8,0,13.6,22,47.5,39.6,53.6,9,127,1011,4049
88008,6881,3521,3360,12.6,6.1,7.2,7.1,18.6,34.3,14.1,5.3,7.7,7.5,5.7,16.8,45.7,11.4,29.6,31.2,103,1952,16335,65725
39217,1138,418,720,0,0,0,0,0,100,0,0,0,0,0,0,100,0,20.5,20.1,12,192,806,3360
97540,8061,3893,4168,2.6,7.2,5.4,5.8,16.6,35.5,27,4.8,7.2,7.1,7.1,11.1,33.7,29,42.7,45.1,160,893,5819,26660
99169,2577,1315,1262,9.1,7.7,7.5,10,13.9,29.2,22.7,11.1,5.9,8.2,9.1,9.9,27.4,28.4,43.4,45.9,80,606,4716,23112
32955,37745,17729,20016,5,7,9.9,7.2,12.7,32.4,25.8,4.4,6.6,8.1,6.2,11.9,32.6,30.1,44.9,45.8,918,11235,103807,432061
4360,517,266,251,0.8,11.7,9.4,6.8,9.4,30.1,32,1.2,9.2,4.8,14.7,5.6,28.7,35.9,48.8,55.2,12,27,127,743
31408,10611,5919,4692,6.8,9,4.7,4.9,8,54.1,12.7,10.8,7.2,6.6,4.2,12.5,38.6,20.1,33.6,35.2,591,15300,152484,622458
97503,12592,6309,6283,7.1,7.9,6.4,5.7,12.9,42.2,17.8,10.5,5.7,2.8,6.5,14.3,42.9,17.2,35.9,30.4,240,4858,47896,196024
61448,3706,1852,1854,4.7,6.2,7.7,7.1,12.7,34.4,27.3,3.6,6.4,6.6,7.1,12.6,29.9,33.8,43,47.5,42,216,798,4582
76177,6470,3321,3149,7.2,3.6,7.6,5.5,8.6,58.4,9.2,14,4.5,6.5,4.4,20.5,41.1,8.9,35.4,29.9,421,24624,358954,1390697
37324,5145,2578,2567,9.8,4.4,6.2,5.7,14,35.4,24.6,6.7,6.2,5.1,9.7,7.3,38.6,26.4,37.2,43.8,137,3201,40872,185889
47923,3519,1682,1837,6.4,6.8,7.5,6.1,16.2,40,17.1,6.8,9.3,5.4,6.8,16.8,34.3,20.6,39.5,40.4,76,561,4186,17733
15663,418,197,221,8.1,9.6,11.7,12.2,2,16.2,40.1,2.3,1.8,6.8,14.9,8.1,26.2,39.8,56.4,56.2,19,796,16185,65337
95120,37644,18723,18921,4.6,8.4,10.3,8,17.6,29.4,21.9,3.6,10.4,8.6,7.5,14.5,31.1,24.3,44.3,45.4,512,3361,64597,265542
27012,25699,12259,13440,6.6,10,7.2,8.5,15,31.4,21.2,4.6,9.4,8.3,8.4,11.8,33.4,24.2,43.3,45.1,632,6456,47670,199328
24620,2992,1444,1548,9.6,7,7.8,5.6,10.8,40,19.2,4.7,9.9,10.9,13.5,11.4,34.8,14.8,38.3,42.8,25,219,2157,8701
46617,9403,4546,4857,6.6,5.1,4.8,5.8,12.4,47.5,17.8,6.8,5.8,5.8,4.5,10.9,41.7,24.6,30.9,35.4,269,4948,52919,204581
28520,413,166,247,24.1,0,6,0,9.6,33.7,26.5,9.3,0,4.5,14.6,19.4,33.6,18.6,39.4,36.6,3,4,14,60
7444,10811,4643,6168,4.4,8.8,12.4,6.8,10.3,27.6,29.7,2.7,7.8,9.6,5.6,11,29,34.2,49.1,49.4,351,5188,55156,228858
57031,733,367,366,3.5,7.9,7.9,8.4,10.6,42.2,19.3,5.5,4.1,10.7,11.7,6.6,42.6,18.9,38.9,39.3,9,52,394,1811
37118,1173,551,622,1.5,8.7,17.1,0,10.2,39.4,23.2,3.7,10.8,7.6,8.8,18.3,34.1,16.7,34.9,40.2,5,16,152,611
5252,245,114,131,0,6.1,14,17.5,7,21.9,33.3,3.1,11.5,9.2,17.6,3.1,26.7,29,55.3,53.4,19,97,1271,5283
7601,44035,22132,21903,6.5,8,7.6,6.5,9.1,46.1,16.3,6.9,7.3,7,7.6,6.8,42.8,21.6,37.9,40.3,2273,40913,538677,2340830
12928,1882,962,920,2.3,6.3,10.2,8.9,12.7,33.1,26.5,2.6,5.8,8.9,7.2,12.9,36.7,25.9,47.6,41.4,29,151,1054,4284
18818,1281,673,608,4,9.7,11,7.9,12.3,27,28.1,3.1,5.6,12.5,11.3,7.4,31.4,28.6,48.4,51.3,26,202,1580,7545
59936,487,255,232,0,7.1,0,5.5,8.2,60,19.2,0,7.3,8.2,2.6,8.2,41.8,31.9,32.3,44.5,37,90,480,6205
98037,27994,13631,14363,5.8,6.9,7.4,6.7,12.4,44,16.9,5.7,6.2,7.6,6.9,12.9,41.7,19,36.5,37.5,926,11958,103085,427303
25245,622,279,343,0,13.6,0,4.3,12.5,31.5,38,10.2,11.4,5.2,13.7,9.9,21.9,27.7,49.4,47.6,6,6,39,132
96712,8441,4590,3851,4.6,3.2,4.3,6.9,15.6,47.8,17.6,4.1,5.5,6.5,4.7,18.2,38.1,22.8,34.6,39.3,218,1756,11341,47992
54160,303,154,149,0.6,3.9,10.4,5.2,15.6,49.4,14.9,3.4,7.4,11.4,6.7,9.4,43.6,18.1,39.7,44.3,9,99,713,3060
77360,4949,2445,2504,5.8,7.5,2.2,4.6,12.1,28.1,39.6,3.1,4.5,9.2,5.5,11.3,30.4,36,46.7,50.3,61,398,3093,15488
54495,7997,4061,3936,9.8,6.5,7.8,6.1,13.9,35.5,20.4,5.1,6.8,7.3,9.1,12.7,35.2,23.9,35.4,42.5,190,3966,54022,199622
30559,4410,2251,2159,0.8,5.2,7.8,6.5,13.1,35.2,31.3,4.8,4.9,9.5,10.1,6.9,31.4,32.4,46.3,51.1,53,228,1600,6525
35592,4831,2326,2505,5.5,4.8,9.6,8.9,10.9,39.4,20.9,5.4,6.2,6.8,7.5,13.3,36.5,24.4,42.6,40,118,1464,11288,49373
41831,1001,490,511,1.4,11.4,7.3,19.2,9.8,39.6,11.2,1,16.6,11,8.4,7.4,39.1,16.4,43.6,46.4,7,47,526,2071
82639,779,419,360,11.7,5.5,13.8,5.5,11.5,35.8,16.2,3.1,13.1,4.7,1.7,14.7,42.8,20,40.4,32.9,33,91,611,3242
20732,9973,4522,5451,7.2,10.6,7.9,5.7,14.3,37.6,16.7,7.4,4.5,7.4,7.3,16.2,43.9,13.3,37.2,33,106,773,4925,23494
67837,890,429,461,4.7,7.7,6.5,4.4,16.6,40.6,19.6,6.7,6.5,3.3,6.7,13.4,41,22.3,35.4,33.1,37,136,1290,5098
16435,1904,945,959,6,5.3,7,11.5,11.7,37.8,20.6,7,7,10.5,7,12.3,36.8,19.4,40.9,41.3,25,94,731,3602
17870,15098,7382,7716,5.5,6.9,6.8,7.1,11.9,42.8,19,2.7,6.8,5.4,8,10.1,42.7,24.5,35.3,40.5,414,7571,47432,199494
77454,188,111,77,0,0,0,15.3,0,57.7,27,0,0,0,22.1,0,0,77.9,25.8,60.6,6,10,41,194
54947,2539,1269,1270,2,9.6,12.1,9.2,7.2,31.6,28.1,4.6,9.8,10.2,7.4,7,30,30.9,49.9,49.6,32,110,706,3462
61475,363,160,203,2.5,18.8,8.1,2.5,8.8,41.3,18.1,1,14.3,11.8,0,17.2,37.9,17.7,43.4,35.9,5,15,221,2292
94572,9724,4335,5389,9.2,5,6.1,10.6,10.4,39.4,19.2,4,5,7.6,6.2,12.8,41.9,22.6,35.7,37.5,79,996,24776,77658
64643,1391,675,716,12,9.2,4.3,6.7,14.2,30.8,22.8,5.3,7.4,4.9,4.7,19.1,36,22.5,38.9,39.4,14,69,445,2152
70466,8560,4557,4003,6.9,4.2,6,7.2,15.2,49.4,11.1,5.2,7.4,5.8,7.1,11.5,42.5,20.5,31.8,38.8,66,325,1844,8450
92887,20292,10080,10212,5.8,7,9.5,9.3,14.9,34.8,18.7,6.1,8.9,9.7,9.4,11.8,34.8,19.3,40.5,43.3,625,6794,95375,376988
45389,564,280,284,5.7,3.2,18.2,5.4,15.7,30.4,21.4,4.6,6,5.3,10.2,12,34.9,27.1,39,42.6,10,28,98,375
58538,2669,1385,1284,13.9,5.3,5.8,4.1,21,41,8.8,10.4,7,6.8,3.7,20.1,41.1,11,26,29.2,17,932,6505,27357
18829,888,452,436,5.8,11.9,8.8,6.4,14.2,35.6,17.3,6.9,7.8,10.8,4.6,13.3,30,26.6,42,44.8,12,61,276,1252
60443,21184,9728,11456,5.5,7.1,8.1,8.1,13.4,36.9,20.9,3.4,5,6.2,9.9,16.1,34.9,24.5,40,41.6,346,6291,45487,182411
21778,1077,532,545,2.6,11.8,5.1,11.3,1.7,53,14.5,0,8.8,6.8,11.6,22.6,35.2,15,39.8,40.2,18,109,867,4789
5251,1399,638,761,1.3,6.4,11.8,6.6,9.1,21.8,43.1,5.1,9.3,10.1,12.2,7.9,19.4,35.9,54.9,53.6,73,479,3763,16779
32216,37190,18268,18922,9.1,7.8,5.5,5.4,9.6,46.6,16.1,4.7,6.2,7.6,4.6,12.4,40.8,23.7,34.6,37,1797,32050,413167,1535742
80465,15986,7934,8052,4.6,7.8,9,8.9,11.9,34.4,23.4,5.8,8.7,9,9.5,12.3,34.3,20.5,44.5,43.5,336,1606,12446,60620
67332,168,89,79,0,11.2,22.5,5.6,9,30.3,21.3,0,17.7,15.2,13.9,1.3,35.4,16.5,49.9,49.3,4,73,807,2977
82215,171,107,64,0,2.8,13.1,14,4.7,36.4,29,0,4.7,0,25,4.7,10.9,54.7,50.7,63.3,7,27,138,668
27863,11877,5898,5979,10.2,7.5,5.5,8,14.3,39.4,15.1,5.5,6.4,7,3.6,15.8,40.2,21.6,36.4,36.7,100,672,3985,18454
67732,437,226,211,2.2,2.2,11.1,12.4,12.4,25.2,34.5,7.1,2.8,14.7,9,8.5,28.4,29.4,53,50.7,16,104,895,4228
91405,53347,26612,26735,7.3,7.3,6.6,6,14.6,47.4,10.8,7.6,7.3,7.1,5.6,13.2,44.4,14.8,31.6,34.9,957,12807,126812,549159
25121,678,316,362,0,28.5,3.8,0,0,38.6,29.1,0,0,6.9,19.1,16.6,45,12.4,47.3,43.5,8,53,505,2014
19009,955,491,464,0.6,0.8,9,13.6,16.1,44.6,15.3,5.8,5.4,12.9,6.9,10.6,38.8,19.6,28.1,39.3,27,778,5335,22277
93110,17382,8997,8385,5.4,8.1,6.6,6.8,9.3,41.4,22.5,3.6,8.5,6.2,8.8,10.3,33.5,29.1,38.6,47.1,326,3721,69125,256148
40870,396,206,190,0,0,4.9,12.6,5.8,48.5,28.2,11.6,7.4,5.8,12.6,13.7,31.1,17.9,43.9,38.2,4,52,418,1882
27939,2592,1209,1383,11.8,5.1,6.6,5.5,17.8,30.4,22.7,6.5,2.5,6.9,5.1,22.4,39.9,16.6,36.7,31.5,44,354,1646,7561
63033,42635,18843,23792,7,5.3,7.6,8.1,16,37.6,18.4,5.4,5.3,7.3,6.5,11,39.4,25.2,34.9,40.6,909,7856,42228,179903
25241,1612,910,702,6.7,8.4,4.3,5.6,15.7,41.3,18,8.1,7.3,7.1,5.4,16.5,27.2,28.3,35.8,43.8,20,65,345,1819
68532,812,484,328,9.7,12,1.4,8.3,15.5,42.4,10.7,2.4,25,3.7,5.8,28.4,18.9,15.9,17.9,45,10,27,184,1103
58789,360,194,166,6.2,7.2,7.7,8.8,8.8,38.7,22.7,8.4,4.8,7.2,16.9,17.5,31.3,13.9,43.2,38,9,8,60,314
15411,797,380,417,6.3,9.2,5,7.1,10.8,29.7,31.8,6,5,4.1,10.3,15.3,26.4,32.9,49,47.7,21,68,426,2096
84045,21604,11153,10451,16,4.4,2.4,2.1,28,42.9,4.2,13.3,3,2.4,2.1,29.1,45.5,4.7,18.1,19.7,257,1516,9221,42788
23038,1449,626,823,18.7,13.4,6.9,0,8.5,20.3,32.3,6.4,6.9,5.5,12.5,8.4,21.6,38.6,45.6,55.2,14,72,1196,4482
48139,139,74,65,0,0,0,36.5,0,39.2,24.3,0,0,0,55.4,0,4.6,40,57.3,59.3,43,456,2951,15486
60115,45982,22419,23563,6.1,4.1,4.1,3.6,11.8,58.8,11.5,6.1,4.6,4.6,4.5,10,57,13.1,24.7,24,755,12877,105656,460950
36562,1445,689,756,1.3,1.6,5.8,0,20.6,52.5,18.1,6.9,3.6,11.1,5.2,12.6,33.2,27.5,31.6,44.4,9,48,236,886
73726,627,319,308,5.6,8.2,6.9,6,13.5,32.3,27.6,6.5,5.2,9.7,1.9,23.4,27.9,25.3,41.3,36,9,27,232,930
49895,547,297,250,4.4,5.7,9.4,8.1,8.8,16.5,47.1,0,5.2,13.6,8,4.8,27.2,41.2,57.8,54.8,20,143,782,3501
17228,1305,670,635,5.2,11.5,7.6,4.5,12.8,40.1,18.2,7.2,10.1,6.3,3.5,18.7,32.1,22,38.6,34.5,15,60,345,1518
28019,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,21,64,276
38943,246,146,100,0,8.9,0,6.8,28.8,47.9,7.5,0,0,10,0,33,46,11,31.3,39.4,6,18,94,395
16319,1237,612,625,3.3,11.6,10,8.3,9.6,37.4,19.8,4.2,6.9,9.9,3.7,19.4,29.1,26.9,42.5,41.3,91,1366,6477,26480
46214,24709,11718,12991,7.2,7.4,6.9,5.3,12.5,45.6,15.1,8.6,5.6,6.8,5.1,11.2,43.2,19.5,33.7,35.8,371,7564,130450,434611
56212,478,249,229,7.2,9.2,6,10.4,12.4,28.5,26.1,3.9,8.7,10.5,11.4,9.2,26.2,30.1,45.4,50.6,10,58,495,1748
29108,20138,9790,10348,7.2,4.8,6,4.6,15.1,43.9,18.4,7.8,4.8,7.9,4.6,13.5,37.9,23.6,32.6,38.8,485,9001,73460,300244
38578,160,46,114,0,13,0,0,0,0,87,0,0,0,5.3,0,0,94.7,71,82,7,187,1205,5262
82083,309,180,129,0,0,7.8,7.8,12.2,36.7,35.6,0,11.6,7.8,3.1,4.7,20.9,51.9,50.4,61.2,10,81,931,3767
46540,11837,6185,5652,9.5,6,5.8,5,18.7,40.7,14.5,8.1,8.9,6.6,4.9,17,34.7,19.9,26.3,35.2,355,11205,129340,574515
8049,5737,3002,2735,6.4,13.4,5.2,5.7,12.9,42,14.4,6.1,6.9,6.5,8,10,40.3,22.3,35.4,40.5,74,625,5184,23407
68110,8950,4843,4107,4.4,7,6.2,7.1,20.9,43.3,11.2,10.2,7.4,5.7,8.3,16.8,35,16.6,33,35.2,207,6194,62024,259946
61378,572,304,268,11.8,9.5,10.5,8.6,17.8,19.1,22.7,9.3,6,10.1,6,17.5,35.1,16,46.2,43.2,14,56,521,2297
95975,2034,1177,857,12.4,7,11.9,7.1,15,25.3,21.2,3.4,0,8.1,1.4,3.7,45.5,37.9,37.2,41.7,23,81,721,3373
14036,5132,2697,2435,3.7,9.3,11.3,8.3,9,37.5,20.7,2.5,9.4,14.4,9.5,14,32.2,18.1,44.8,45.8,74,721,5210,22362
85719,44813,23257,21556,3,2.6,4.4,3.9,4.5,71.7,10,2.9,2.7,4.1,4.1,3.9,69.7,12.5,23.5,23.4,1241,16404,132173,558302
22032,29956,14627,15329,4.4,9,8.8,6.1,13.6,36.4,21.6,4.8,9.3,8.5,6.9,11.7,37.1,21.7,41.2,42.8,381,3308,39456,167885
71104,13591,6622,6969,7.1,5.6,7.4,6.4,10.5,48.6,14.4,7.6,3.8,6.3,7.5,8,45.6,21.1,32.8,34.7,361,4231,27335,118100
16057,14386,6800,7586,2.8,4.9,5.2,6.1,7.1,58.8,15.1,3.6,4.5,5.6,5.6,6.2,59.6,14.8,24.5,22,218,2392,17309,72508
37042,73433,36390,37043,10.4,5.9,4.4,3.9,15.3,51.7,8.5,10,6.5,5.5,4.5,14.7,48.7,10.1,27.1,28.3,589,6619,37177,160309
7920,26966,12687,14279,5.7,10.1,8.3,7.7,16.5,32.7,19.1,3.2,8,9,8.1,17.3,33.1,21.3,42.4,44,609,12537,669739,1588735
73730,717,319,398,5,4.4,7.8,11,13.8,37.3,20.7,6,1.5,10.1,8.3,20.9,29.4,23.9,35,35.2,13,22,127,844
39359,314,150,164,9.3,4,4.7,3.3,16,40.7,22,12.2,8.5,2.4,13.4,17.7,29.3,16.5,31.2,34.6,34,1350,9996,40771
46166,2304,1148,1156,2.3,9.1,11.3,6.1,13.2,37.4,20.6,4.5,9.4,7.4,8.4,14,42.4,13.8,42.7,39.9,20,167,1277,5278
15477,834,377,457,5.6,6.6,7.4,10.6,11.4,26.5,31.8,3.3,6.6,5,10.1,6.1,33.9,35,50,51.3,16,116,734,3179
70433,34323,16560,17763,7.2,7.3,7,6.1,13.1,37.8,21.6,5.7,6.6,6.5,6.7,11.5,38.7,24.2,37.7,41,1586,27757,341115,1348707
71331,1130,605,525,20.5,3,6.1,1.7,12.2,33.7,22.8,7.8,5,13.7,1.7,17.3,38.7,15.8,32.8,30.6,7,26,187,974
1245,950,459,491,1.3,5.2,8.9,11.1,3.5,32.2,37.7,1.2,4.1,8.8,6.9,12,33.2,33.8,54.8,49.8,22,144,837,4494
45206,11331,5598,5733,5.7,7.1,8.7,7.4,10.5,43.1,17.6,3.8,5.8,8,8.5,12.1,38.4,23.5,36,40.3,373,8694,91584,423757
78003,8527,4094,4433,2.5,8.5,10.7,11.9,9.2,23.5,33.7,5.4,7.4,10.7,11.2,8.6,25.6,31.1,54,51.8,229,2490,15897,68923
85031,28338,13754,14584,9.6,5.5,4.4,3.2,17.9,49,10.4,9.5,5.8,7,4.3,17.1,45,11.3,24.7,29,272,6194,50685,207774
59027,764,375,389,2.7,9.9,1.6,15.2,8.5,29.1,33.1,4.9,9,0,13.1,0,40.1,32.9,49,46.5,43,137,985,6288
59433,580,307,273,1,7.8,7.2,9.8,5.2,30.3,38.8,11.4,2.9,10.6,6.6,8.1,15.8,44.7,52.9,56.5,15,74,463,2252
72601,30240,14706,15534,6.7,6.5,6.3,5.7,14.1,38.3,22.3,5.5,5.9,7.2,6.2,12.7,36,26.6,38,41.2,784,11303,92571,393535
53719,30845,15346,15499,7.4,5,4.3,3.2,13.9,56.5,9.7,9.1,5.4,4.6,3.6,11.2,52.7,13.4,29.9,31.3,1194,21073,222755,933778
48747,1355,688,667,4.5,9,9.4,11.2,7.8,33.7,24.3,3,11.5,10,9.3,12.7,20.2,33.1,48.4,51.5,15,74,606,2331
47857,546,261,285,2.3,0,6.1,11.9,19.2,33,27.6,2.1,3.9,10.2,7.4,9.1,28.4,38.9,40.4,53.4,7,117,714,2966
59910,572,292,280,1.7,5.1,9.9,2.4,11.3,22.9,46.6,7.5,0,0,1.4,10,36.1,45,53.9,44.6,6,15,95,560
93517,929,558,371,0,3.8,10.9,8.6,0,37.8,38.9,2.2,0,14.8,3.2,0,14.8,65,54.6,74.1,35,92,612,4678
4275,427,234,193,1.3,3.4,13.2,15.8,11.5,27.4,27.4,0,10.9,15,15.5,8.3,24.9,25.4,53.1,50.8,6,12,50,247
3592,1099,585,514,2.1,10.8,8.4,5.3,7.9,20.9,44.8,0.4,10.1,9.5,15.8,5.8,22,36.4,55,55.7,40,252,1207,4672
27205,34654,17245,17409,5.8,8.4,4.8,7,15.7,38.4,19.8,4.4,8.2,6.5,7.8,14.4,36,22.8,37.5,41.3,318,3937,28325,122790
63349,1952,1086,866,7.2,3.4,14,4.3,19.6,36,15.5,4.6,12.2,10,7.5,13.4,34.2,18,32.7,43,28,109,608,2610
14555,1074,546,528,5.5,3.1,2.6,8.2,12.3,26.9,41.4,8.7,4.4,8.7,6.4,7.4,28.8,35.6,52.5,51.4,32,127,565,3810
88340,3550,1684,1866,10.1,9.6,3.1,2.3,23.8,45.3,5.8,9.2,4.1,7.1,3.3,18.8,45.9,11.6,23.8,28.4,12,1354,10364,38606
95462,1216,615,601,2.1,8.3,8.6,11.1,4.9,28.9,36.1,4.5,1.7,7,16.3,5,33.9,31.6,54,52.6,25,130,715,3188
17812,1295,644,651,5,9.8,5.9,8.2,12.4,33.7,25,11.1,6.3,7.8,6.5,11.2,32.6,24.6,44.3,41.6,36,347,2498,11221
56280,520,277,243,5.8,5.4,7.2,11.9,10.8,32.5,26.4,6.6,7.4,7.4,6.6,9.1,32.5,30.5,45.8,46.8,15,83,598,2760
76870,230,107,123,22.4,0,1.9,2.8,16.8,34.6,21.5,12.2,1.6,6.5,0,19.5,41.5,18.7,34.4,28.8,8,40,155,827
10925,4330,2344,1986,7.8,6.1,12.2,12.5,13.2,31.3,16.8,10.7,9.5,8.2,11.9,3.1,29.4,27.1,42.9,49.2,90,348,3200,14757
92677,65238,31489,33749,6.1,7,8.8,9.7,12.8,34.8,20.8,5.5,8.4,9.3,10,10.7,33.8,22.4,42.7,45,1609,13076,125702,531273
75682,518,250,268,0,5.6,10.4,6.8,9.6,55.6,12,7.1,7.1,7.1,6.3,19.4,35.8,17.2,36.8,36.1,11,302,2176,8083
44304,5634,3248,2386,4.5,2.2,2.1,1.4,8.1,77.2,4.5,3.2,2,3.3,1.4,6.1,78.7,5.2,21,20.9,166,3368,59196,245195
59436,1946,932,1014,7.1,8.5,8.2,6.7,17.1,32.4,20.2,8,5.8,5.5,7,15.7,33.3,24.7,40.8,38.7,62,378,3574,15011
81047,1577,801,776,5.7,4.1,7.4,4.7,15.6,37.6,24.8,12,7.6,8,7.5,14.3,27.1,23.6,37.1,40.6,31,165,1109,4568
62856,292,135,157,1.5,4.4,14.8,14.8,11.9,21.5,31.1,2.5,11.5,10.2,9.6,3.8,19.7,42.7,54.3,55.7,3,17,105,454
59460,164,97,67,0,0,14.4,3.1,4.1,25.8,52.6,0,14.9,3,9,0,19.4,53.7,60.8,63.8,6,12,82,372
92304,23,23,0,0,0,0,65.2,0,34.8,0,-,-,-,-,-,-,-,-,-,6,35,442,1598
14706,6242,2899,3343,3.9,9,7.5,5.8,10,34.6,29.3,5.6,7.2,6,6.8,11.8,32.5,30.1,45.6,45,117,1202,9969,42670
91775,25486,12330,13156,5.6,6.5,7,6.7,13,38.8,22.3,4.6,8.2,6.9,6.4,12.3,34.2,27.5,41.5,44.2,317,2414,15299,116835
