Id2,Total; Estimate; Total population,Male; Estimate; Total population,Female; Estimate; Total population,Male; Estimate; AGE - Under 5 years,Male; Estimate; AGE - 45 to 49 years,Male; Estimate; AGE - 50 to 54 years,Male; Estimate; AGE - 55 to 59 years,Male; Estimate; SELECTED AGE CATEGORIES - 5 to 14 years,Male; Estimate; SELECTED AGE CATEGORIES - 15 to 44 years,Male; Estimate; SELECTED AGE CATEGORIES - 60 years and over,Female; Estimate; AGE - Under 5 years,Female; Estimate; AGE - 45 to 49 years,Female; Estimate; AGE - 50 to 54 years,Female; Estimate; AGE - 55 to 59 years,Female; Estimate; SELECTED AGE CATEGORIES - 5 to 14 years,Female; Estimate; SELECTED AGE CATEGORIES - 15 to 44 years,Female; Estimate; SELECTED AGE CATEGORIES - 60 years and over,Male; Estimate; SUMMARY INDICATORS - Median age (years),Female; Estimate; SUMMARY INDICATORS - Median age (years),Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
3259,336,187,149,0,3.7,3.7,9.6,14.4,29.4,39,2.7,6,20.1,14.1,4,12.1,40.9,51.6,57.2,10,54,369,1554
55932,2143,1103,1040,8.4,8.6,8.4,6,17,35.7,15.8,7.3,7,8.4,5,13.6,39.9,18.8,36.4,38.2,46,271,2141,10096
47141,1825,928,897,11.2,13.4,5.5,4.4,12.4,30.2,23,3.8,4.3,5.9,6,15.7,43.9,20.3,44,37.1,14,22,145,847
48761,953,456,497,0,5.9,0.9,5,6.6,27.4,54.2,0.4,4.8,7.6,8.7,3.2,30.2,45.1,61.6,57.5,6,72,631,2733
62818,258,144,114,2.8,2.8,11.1,13.9,8.3,21.5,39.6,3.5,6.1,15.8,12.3,7,26.3,28.9,55.5,53.4,5,54,531,2755
22732,371,169,202,0,0,23.7,0,31.4,18.9,26,0,0,5,12.4,36.6,37.1,8.9,41,32.1,11,47,224,1159
42035,800,413,387,7.7,3.4,8,3.6,12.1,42.9,22.3,7.2,6.5,6.2,5.9,11.4,38.5,24.3,35.7,34.7,25,105,659,3426
10162,1289,697,592,7.2,13.3,17.9,10.8,6,26.8,17.9,30.2,0,9.6,0,12.2,24,24,45.7,33.8,21,169,1414,6250
89169,22209,12032,10177,7.7,7.3,7.1,6.1,10.2,45.7,15.9,8.8,7.4,6.1,4.3,15.3,43.4,14.7,34.8,33.1,699,11208,125063,484140
19560,7721,3665,4056,8,6.7,5.6,9.8,13.1,37.8,18.9,3.7,8.3,7.4,6.1,12.5,36.9,25,38,42.1,171,2714,18555,78917
65661,2395,1145,1250,3.2,8.9,7.3,8.8,14.1,25.6,32,4.3,5,5.7,9,8.7,30,37.4,49,53.1,55,414,2825,11629
